ID,Date,Sentiment
609,2015-03-08,2
610,2015-03-07,2
611,2015-03-06,2
612,2015-03-05,2
613,2015-03-05,2
614,2015-03-04,2
615,2015-03-04,2
616,2015-03-01,2
617,2015-03-01,3
618,2015-02-27,2
619,2015-02-26,2
620,2015-02-26,2
621,2015-02-24,2
622,2015-02-23,2
623,2015-02-23,2
624,2015-02-23,2
625,2015-02-22,2
626,2015-02-20,2
627,2015-02-20,2
628,2015-02-20,2
629,2015-02-19,2
630,2015-02-19,2
631,2015-02-17,1
632,2015-02-17,2
633,2015-02-17,2
634,2015-02-17,2
635,2015-02-17,2
636,2015-02-16,2
637,2015-02-16,2
638,2015-02-16,2
639,2015-02-16,2
640,2015-02-15,2
641,2015-02-13,2
642,2015-02-13,2
643,2015-02-11,3
644,2015-02-11,2
645,2015-02-10,2
646,2015-02-09,2
647,2015-02-09,2
648,2015-02-09,2
649,2015-02-05,2
650,2015-02-02,2
651,2015-02-02,2
652,2015-02-01,2
653,2015-01-30,1
654,2015-01-30,2
655,2015-01-30,2
656,2015-01-30,2
657,2015-01-29,2
658,2015-01-29,2
659,2015-01-28,2
660,2015-01-28,2
661,2015-01-26,2
662,2015-01-26,2
663,2015-01-24,2
664,2015-01-20,2
665,2015-01-17,2
666,2015-01-16,2
667,2015-01-16,2
668,2015-01-15,2
669,2015-01-14,1
670,2015-01-14,2
671,2015-01-14,2
672,2015-01-14,2
673,2015-01-14,2
674,2015-01-13,2
675,2015-01-13,2
676,2015-01-12,2
677,2015-01-11,2
678,2015-01-08,2
679,2015-01-08,2
680,2015-01-08,2
681,2015-01-07,2
682,2015-01-06,2
683,2015-01-06,2
684,2015-01-06,2
685,2015-01-06,2
686,2015-01-03,2
687,2015-01-03,2
688,2015-01-03,2
689,2015-01-01,2
690,2015-01-01,2
691,2014-12-30,2
692,2014-12-29,2
693,2014-12-29,2
694,2014-12-28,2
695,2014-12-27,2
696,2014-12-27,2
697,2014-12-27,3
698,2014-12-27,2
699,2014-12-27,2
700,2014-12-26,2
701,2014-12-24,2
702,2014-12-24,2
703,2014-12-24,3
704,2014-12-23,3
705,2014-12-23,2
706,2014-12-22,2
707,2014-12-21,2
708,2014-12-21,2
709,2014-12-20,2
710,2014-12-19,2
711,2014-12-19,2
712,2014-12-19,2
713,2014-12-19,2
714,2014-12-17,2
715,2014-12-17,2
716,2014-12-16,2
717,2014-12-12,2
718,2014-12-11,2
719,2014-12-11,2
720,2014-12-11,2
721,2014-12-09,2
722,2014-12-09,2
723,2014-12-08,2
724,2014-12-08,2
725,2014-12-08,2
726,2014-12-08,2
727,2014-12-06,2
728,2014-12-06,2
729,2014-12-06,2
730,2014-12-05,2
731,2014-12-05,2
732,2014-12-04,2
733,2014-12-03,2
734,2014-12-02,2
735,2014-11-30,2
736,2014-11-29,2
737,2014-11-29,2
738,2014-11-28,2
739,2014-11-26,2
740,2014-11-24,2
741,2014-11-24,2
742,2014-11-24,2
743,2014-11-23,2
744,2014-11-23,2
745,2014-11-22,2
746,2014-11-21,2
747,2014-11-19,2
748,2014-11-18,2
749,2014-11-18,1
750,2014-11-17,2
751,2014-11-17,2
752,2014-11-15,2
753,2014-11-14,2
754,2014-11-14,2
755,2014-11-13,2
756,2014-11-12,2
757,2014-11-12,2
758,2014-11-12,2
759,2014-11-11,2
760,2014-11-08,2
761,2014-11-07,2
762,2014-11-06,2
763,2014-11-06,2
764,2014-11-04,2
765,2014-11-03,2
766,2014-11-03,2
767,2014-11-03,1
768,2014-11-02,2
769,2014-11-01,2
770,2014-11-01,3
771,2014-10-31,2
772,2014-10-31,2
773,2014-10-30,1
774,2014-10-30,2
775,2014-10-28,2
776,2014-10-26,2
777,2014-10-25,2
778,2014-10-24,2
779,2014-10-24,2
780,2014-10-23,2
781,2014-10-23,2
782,2014-10-23,2
783,2014-10-21,2
784,2014-10-21,2
785,2014-10-21,2
786,2014-10-20,1
787,2014-10-20,2
788,2014-10-17,2
789,2014-10-16,2
790,2014-10-15,2
791,2014-10-14,3
792,2014-10-14,2
793,2014-10-14,2
794,2014-10-14,2
795,2014-10-12,2
796,2014-10-09,1
797,2014-10-09,2
798,2014-10-08,2
799,2014-10-06,1
800,2014-10-06,2
801,2014-10-03,2
802,2014-10-02,2
803,2014-10-02,2
804,2014-10-01,2
805,2014-10-01,1
806,2014-09-30,2
807,2014-09-30,2
808,2014-09-30,2
809,2014-09-29,2
810,2014-09-29,2
811,2014-09-25,2
812,2014-09-24,2
813,2014-09-21,2
814,2014-09-21,2
815,2014-09-19,2
816,2014-09-17,2
817,2014-09-17,2
818,2014-09-16,2
819,2014-09-15,2
820,2014-09-12,2
821,2014-09-12,2
822,2014-09-12,2
823,2014-09-11,2
824,2014-09-11,1
825,2014-09-09,2
826,2014-09-09,2
827,2014-09-08,3
828,2014-09-08,2
829,2014-09-07,2
830,2014-09-05,2
831,2014-09-05,2
